z,Time,ISM,Stars,H,He,C,N,O,Fe
0.8168168168168168,5443173699.42342,2372720029319.014,25839460102.29414,917952321434.4841,289879680452.999,54962675810.72076,54962675810.72076,54962675810.72076,0.0
0.8288288288288288,5480125922.934865,2386084341742.2876,25814492795.10124,926585667259.9236,292606000187.35156,55630891431.88494,55630891431.88494,55630891431.88494,0.0
0.8408408408408409,5516476322.457317,2399329329947.496,25792032199.503952,935141929640.493,295307977781.2188,56293140842.145874,56293140842.145874,56293140842.145874,0.0
0.8528528528528528,5552238531.435602,2412574318152.7046,25771894633.985207,943698192021.0625,298009955375.08606,56955390252.40681,56955390252.40681,56955390252.40681,0.0
0.8648648648648649,5587425788.781358,2425819306357.913,25753912615.07672,952254454401.632,300711932968.9533,57617639662.66774,57617639662.66774,57617639662.66774,0.0
0.8768768768768769,5622050952.738249,2439064294563.1216,25737927046.689156,960810716782.2014,303413910562.82056,58279889072.92867,58279889072.92867,58279889072.92867,0.0
0.8888888888888888,5656126514.1749935,2452309282768.33,25723787307.01106,969366979162.7709,306115888156.6878,58942138483.189606,58942138483.189606,58942138483.189606,0.0
0.9009009009009009,5689664609.333254,2465434946755.4736,25711360261.782883,977846158098.4703,308793523610.06976,59598421682.54729,59598421682.54729,59598421682.54729,0.0
0.9129129129129129,5722677032.056015,2478560610742.617,25700510426.62757,986325337034.1698,311471159063.4517,60254704881.90497,60254704881.90497,60254704881.90497,0.0
0.924924924924925,5755175245.520751,2491686274729.7607,25691118161.21516,994804515969.8693,314148794516.8337,60910988081.26265,60910988081.26265,60910988081.26265,0.0
0.9369369369369369,5787170393.500359,2504811938716.9043,25683073289.903107,1003283694905.5687,316826429970.21564,61567271280.62033,61567271280.62033,61567271280.62033,0.0
0.948948948948949,5818673311.173669,2517937602704.048,25676267779.83679,1011762873841.2682,319504065423.5976,62223554479.97801,62223554479.97801,62223554479.97801,0.0
0.960960960960961,5849694535.506166,2530943942473.1265,25670602622.437943,1020164969332.0977,322157358736.49426,62873871468.43244,62873871468.43244,62873871468.43244,0.0
0.9729729729729729,5880244315.220559,2543950282242.205,25665986723.991123,1028567064822.9271,324810652049.3909,63524188456.88687,63524188456.88687,63524188456.88687,0.0
0.984984984984985,5910332620.375738,2556956622011.2837,25662331362.071648,1036969160313.7566,327463945362.2876,64174505445.3413,64174505445.3413,64174505445.3413,0.0
0.996996996996997,5939969151.571809,2569962961780.3623,25659559488.514343,1045371255804.586,330117238675.18427,64824822433.79573,64824822433.79573,64824822433.79573,0.0
1.009009009009009,5969163348.79789,2582969301549.441,25657595691.1264,1053773351295.4155,332770531988.08093,65475139422.25016,65475139422.25016,65475139422.25016,0.0
1.021021021021021,5997924399.938631,2595975641318.5195,25656368787.15704,1062175446786.245,335423825300.9776,66125456410.70459,66125456410.70459,66125456410.70459,0.0
1.033033033033033,6026261248.954514,2608862656869.533,25655814962.097496,1070500458832.2045,338052776473.389,66769807188.25577,66769807188.25577,66769807188.25577,0.0
1.045045045045045,6054182603.750295,2621749672420.547,25655814962.097496,1078825470878.164,340681727645.80035,67414157965.806946,67414157965.806946,67414157965.806946,0.0
1.057057057057057,6081696943.745241,2634636687971.5605,25655814962.097496,1087150482924.1234,343310678818.21173,68058508743.35812,68058508743.35812,68058508743.35812,0.0
1.069069069069069,6108812527.158101,2647523703522.574,25655814962.097496,1095475494970.0829,345939629990.6231,68702859520.9093,68702859520.9093,68702859520.9093,0.0
1.0810810810810811,6135537398.019168,2660410719073.588,25655814962.097496,1103800507016.0356,348568581163.0345,69347210298.45967,69347210298.45967,69347210298.45967,0.0
1.093093093093093,6161879392.921133,2673297734624.6016,25655814962.097496,1112125519061.982,351197532335.44586,69991561076.01003,69991561076.01003,69991561076.01003,0.0
1.105105105105105,6187846147.519937,2686065425957.5503,25655814962.097496,1120373447663.0583,353802141367.37195,70629945642.65714,70629945642.65714,70629945642.65714,0.0
1.117117117117117,6213445102.796182,2698833117290.499,25655814962.097496,1128621376264.1348,356406750399.29803,71268330209.30424,71268330209.30424,71268330209.30424,0.0
1.1291291291291292,6238683511.087286,2711600808623.4478,25655814962.097496,1136869304865.2112,359011359431.2241,71906714775.95135,71906714775.95135,71906714775.95135,0.0
1.1411411411411412,6263568441.899961,2724368499956.3965,25655814962.097496,1145117233466.2876,361615968463.1502,72545099342.59846,72545099342.59846,72545099342.59846,0.0
1.1531531531531531,6288106787.512227,2737136191289.345,25655814962.097496,1153365162067.364,364220577495.0763,73183483909.24557,73183483909.24557,73183483909.24557,0.0
1.165165165165165,6312305268.373678,2749903882622.294,25655814962.097496,1161613090668.4404,366825186527.0024,73821868475.89268,73821868475.89268,73821868475.89268,0.0
1.177177177177177,6336170438.312364,2762671573955.2427,25655814962.097496,1169861019269.5168,369429795558.92847,74460253042.5398,74460253042.5398,74460253042.5398,0.0
1.1891891891891893,6359708689.556222,2775439265288.1914,25655814962.097496,1178108947870.5933,372034404590.85455,75098637609.1869,75098637609.1869,75098637609.1869,0.0
1.2012012012012012,6382926257.576637,2788087632403.075,25655814962.097496,1186279793026.7998,374614671482.29535,75731055964.93077,75731055964.93077,75731055964.93077,0.0
1.2132132132132132,6405829225.761363,2800735999517.959,25655814962.097496,1194450638183.0063,377194938373.73615,76363474320.67464,76363474320.67464,76363474320.67464,0.0
1.2252252252252251,6428423529.923701,2813384366632.843,25655814962.097496,1202621483339.213,379775205265.17694,76995892676.4185,76995892676.4185,76995892676.4185,0.0
